facility_name,status,open,hours_of_operation,accessibility,restroom_type,changing_stations,additional_notes,website,latitude,longitude,location_1
Damrosch Park,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.772515,-73.985706,POINT (-73.985706 40.772515)
"Baisley Park Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/baisley-park,40.68032,-73.79168,POINT (-73.79168 40.68032)
Saw Mill Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.808919,-73.919313,POINT (-73.919313 40.808919)
Fox Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.63269,-73.923924,POINT (-73.923924 40.63269)
Heckscher Playground,1,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.768371,-73.977099,POINT (-73.977099 40.768371)
Ben Abrams Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.854383,-73.869675,POINT (-73.869675 40.854383)
Pratt Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.692603,-73.962224,POINT (-73.962224 40.692603)
"Richmondtown Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/richmondtown,40.566538,-74.138535,POINT (-74.138535 40.566538)
173rd St. Playground,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.701859,-73.783513,POINT (-73.783513 40.701859)
Hoover - Manton Playgrounds,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.710523,-73.82011,POINT (-73.82011 40.710523)
Vinmont Veteran Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.902145,-73.904873,POINT (-73.904873 40.902145)
Battery Park Zone 2,1,Year Round,9am - 4:30pm,NA,NA,NA,,,40.701399,-74.015021,POINT (-74.015021 40.701399)
Dr. Green Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.667373,-73.907384,POINT (-73.907384 40.667373)
John Golden Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.774094,-73.767742,POINT (-73.767742 40.774094)
Allerton Fields In Bronx Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.869533,-73.876611,POINT (-73.876611 40.869533)
"Crown Heights Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/crown-heights,40.661198,-73.948104,POINT (-73.948104 40.661198)
Wingate Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.659263,-73.944642,POINT (-73.944642 40.659263)
Soundview Park Zone 4,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.819083,-73.878307,POINT (-73.878307 40.819083)
Wards Meadow,1,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",Fully Accessible,NA,NA,,,40.783076,-73.930757,POINT (-73.930757 40.783076)
Fox Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.815141,-73.898529,POINT (-73.898529 40.815141)
Breininger Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.726032,-73.728898,POINT (-73.728898 40.726032)
"Clinton Hill Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/clinton-hill,40.687387,-73.966032,POINT (-73.966032 40.687387)
The Ramble,1,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.775359,-73.968777,POINT (-73.968777 40.775359)
Greene Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.686372,-73.96584,POINT (-73.96584 40.686372)
Hallets Cove Playground (Area A),1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.771632,-73.934655,POINT (-73.934655 40.771632)
Dag Hammarskjold Food Kiosk,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.752076,-73.968158,POINT (-73.968158 40.752076)
"Gerritsen Beach Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gerritsen-beach,40.591379,-73.923939,POINT (-73.923939 40.591379)
Agnes Haywood Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.880494,-73.861748,POINT (-73.861748 40.880494)
Prospect Park Lakeside Center,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.657069,-73.96418,POINT (-73.96418 40.657069)
"Harry Belafonte 115th Street Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/115th-street,40.802988,-73.953532,POINT (-73.953532 40.802988)
Twenty-Four Sycamores Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.759419,-73.958863,POINT (-73.958863 40.759419)
John J Carty Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.614496,-74.029411,POINT (-74.029411 40.614496)
Catbird Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.773579,-73.945039,POINT (-73.945039 40.773579)
Ella Fitzgerald Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.74473,-73.787536,POINT (-73.787536 40.74473)
Mosholu Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.872655,-73.882856,POINT (-73.882856 40.872655)
Central Park Chess & Checkers House,1,Year Round,7:30am - dusk,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.769114,-73.974619,POINT (-73.974619 40.769114)
Coleman Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.710877,-73.993454,POINT (-73.993454 40.710877)
"Marcy Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/marcy,40.691631,-73.951285,POINT (-73.951285 40.691631)
"Rego Park Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rego-park,40.727325,-73.864504,POINT (-73.864504 40.727325)
"New Lots Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/new-lots,40.665168,-73.886072,POINT (-73.886072 40.665168)
"Riverside Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,NA,NA,,https://www.nypl.org/locations/riverside,40.77424,-73.984514,POINT (-73.984514 40.77424)
Paerdegat Basin Marina 4,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.627064,-73.904208,POINT (-73.904208 40.627064)
Adventure Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.8368,-73.936612,POINT (-73.936612 40.8368)
"Windsor Park Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/windsor-park,40.734513,-73.755621,POINT (-73.755621 40.734513)
Brooklyn Bridge Park Zone 6,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,NA,NA,,,40.692928,-74.001669,POINT (-74.001669 40.692928)
Benson Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.602372,-74.002325,POINT (-74.002325 40.602372)
"Tremont Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/tremont,40.846054,-73.898351,POINT (-73.898351 40.846054)
Gertrude Ederle Recreation Center,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.771467,-73.988742,POINT (-73.988742 40.771467)
Pelham South Park Headquarters,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.851719,-73.824705,POINT (-73.824705 40.851719)
Franz Sigel Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.821366,-73.92599,POINT (-73.92599 40.821366)
Seaside Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.58072,-73.83051,POINT (-73.83051 40.58072)
Middle Long Meadow,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.665568,-73.971574,POINT (-73.971574 40.665568)
"Schomburg Center for Research in Black Culture, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 am - 6:00 pm 
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,,https://www.nypl.org/locations/schomburg,40.814657,-73.940945,POINT (-73.940945 40.814657)
Emerald Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.730822,-73.806078,POINT (-73.806078 40.730822)
The High Line Zone 2,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.752578,-74.002128,POINT (-74.002128 40.752578)
Brigadier General Charles Young Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.819611,-73.936222,POINT (-73.936222 40.819611)
Flynn Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.820925,-73.911881,POINT (-73.911881 40.820925)
Battery Park City Zone 1,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.705234,-74.018395,POINT (-74.018395 40.705234)
Banneker Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.69069,-73.948793,POINT (-73.948793 40.69069)
Jacob H. Schiff Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.820365,-73.952109,POINT (-73.952109 40.820365)
Howard Von Dohlen Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.69965,-73.813089,POINT (-73.813089 40.69965)
South Beach Zone 3,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.579801,-74.075867,POINT (-74.075867 40.579801)
Heckscher Playground,1,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.768371,-73.977099,POINT (-73.977099 40.768371)
Yak Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.592456,-73.935791,POINT (-73.935791 40.592456)
Fmcp Heliport,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.74454,-73.850751,POINT (-73.850751 40.74454)
Dyker Beach Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.605687,-74.01777,POINT (-74.01777 40.605687)
Coffey Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.677206,-74.008709,POINT (-74.008709 40.677206)
"Jefferson Market Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jefferson-market,40.734643,-73.999171,POINT (-73.999171 40.734643)
Hudson River Park Pier 83,1,Year Round,9:30am - 9:30pm,Fully Accessible,NA,NA,,,40.762739,-74.001471,POINT (-74.001471 40.762739)
Poe Park,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.865038,-73.894697,POINT (-73.894697 40.865038)
Castle Hill Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.839026,-73.852972,POINT (-73.852972 40.839026)
"Greenpoint Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/greenpoint,40.726036,-73.950696,POINT (-73.950696 40.726036)
Cunningham Park Zone 3,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.736644,-73.770656,POINT (-73.770656 40.736644)
Strawberry Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.709709,-73.955856,POINT (-73.955856 40.709709)
"South Beach Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm   
Wednesday: 11:00 am - 7:00 pm  
Thursday: 11:00 am - 7:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/south-beach,40.595811,-74.062982,POINT (-74.062982 40.595811)
Peters Field,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.706435,-73.774661,POINT (-73.774661 40.706435)
Leonardo Ingravallo Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.775968,-73.817167,POINT (-73.817167 40.775968)
875 Third Avenue POPS,1,Year Round,Monday to Saturday: 7:00 am-11:00 pm; Sunday & holidays: 11:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.757226,-73.969197,POINT (-73.969197 40.757226)
Rappaport Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.636784,-74.000795,POINT (-74.000795 40.636784)
Riverbank Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.825617,-73.953889,POINT (-73.953889 40.825617)
Ferry Point Park Zone 2,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.812005,-73.838561,POINT (-73.838561 40.812005)
"Jerome Park Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jerome-park,40.869078,-73.901194,POINT (-73.901194 40.869078)
"West New Brighton Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/west-new-brighton,40.634517,-74.114823,POINT (-74.114823 40.634517)
Alley Springfield Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.741587,-73.748525,POINT (-73.748525 40.741587)
Wakefield Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.901858,-73.854766,POINT (-73.854766 40.901858)
Ditmars Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.771561,-73.907325,POINT (-73.907325 40.771561)
"Harlem Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/harlem,40.806169,-73.943317,POINT (-73.943317 40.806169)
"Brooklyn Heights Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday 10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brooklyn-heights,40.695691,-73.991349,POINT (-73.991349 40.695691)
College Point Blvd Soccer Fields,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.75101,-73.83382,POINT (-73.83382 40.75101)
Wolfe's Pond Park Zone 2,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.517387,-74.190987,POINT (-74.190987 40.517387)
Pomonok Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.73616,-73.814097,POINT (-73.814097 40.73616)
"Battery Park City Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 11:00 am - 7:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/battery-park-city,40.715699,-74.01575,POINT (-74.01575 40.715699)
Conservatory Garden,1,Year Round,8am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.794194,-73.952736,POINT (-73.952736 40.794194)
"St. Albans Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/st.albans,40.692508,-73.760074,POINT (-73.760074 40.692508)
Lindower Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.612282,-73.911223,POINT (-73.911223 40.612282)
Washington Hall Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.695418,-73.966614,POINT (-73.966614 40.695418)
Marie Curie Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.757089,-73.771511,POINT (-73.771511 40.757089)
"Throg's Neck Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/throgs-neck,40.822881,-73.819096,POINT (-73.819096 40.822881)
Pilgrim Hill & Conservatory Water,1,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.773979,-73.966543,POINT (-73.966543 40.773979)
"Jackson Heights Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/jackson-heights,40.750204,-73.885071,POINT (-73.885071 40.750204)
Owl's Head Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.639297,-74.031998,POINT (-74.031998 40.639297)
Little Island,1,Year Round,6am - 11pm,Fully Accessible,NA,NA,,,40.741724,-74.010743,POINT (-74.010743 40.741724)
"Bellerose Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bellerose,40.735169,-73.717106,POINT (-73.717106 40.735169)
Holcombe Rucker Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.829191,-73.936172,POINT (-73.936172 40.829191)
Parque De Los Ninos Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.827144,-73.873724,POINT (-73.873724 40.827144)
Greenwood Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.650466,-73.97658,POINT (-73.97658 40.650466)
Robert Moses Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.748089,-73.968696,POINT (-73.968696 40.748089)
Belmont Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.850641,-73.887478,POINT (-73.887478 40.850641)
Dinosaur Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.796672,-73.975168,POINT (-73.975168 40.796672)
Shore Road Park Zone 4,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.611998,-74.035716,POINT (-74.035716 40.611998)
Springfield Park North,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.663821,-73.759545,POINT (-73.759545 40.663821)
Gravesend Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.623984,-73.984921,POINT (-73.984921 40.623984)
"Morris Park Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/morris-park,40.848037,-73.856959,POINT (-73.856959 40.848037)
Locust Point Marina,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.816569,-73.806112,POINT (-73.806112 40.816569)
Bleecker Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.736361,-74.005567,POINT (-74.005567 40.736361)
Raymond OConnor Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.771005,-73.779037,POINT (-73.779037 40.771005)
